[CoordFrame]
Coordinate Frame 1
Option = Axis Points
Coord Frame Type = Cartesian
Origin Point = -86.603 [m], -50 [m], 0 [m]
Axis 3 Point = -86.603 [m], -50 [m], 1 [m]
Plane 13 Point = -86 [m], -50 [m], 1 [m]
Reference Coord Frame = Coord 0

[Name]
fsi

[Reference CoordFrame]
Coordinate Frame 1

[Data]
X [ m ], Y [ m ], Z [ m ], Pressure [ Pa ]
-1.51208191e+001, -1.60375366e+001, 5.74154282e+001, 1.55624060e+003
-1.46234283e+001, -1.56379547e+001, 5.79301605e+001, 1.66473303e+003
-1.46368713e+001, -1.56068344e+001, 5.74421043e+001, 1.55559888e+003
-1.60515366e+001, -1.87704010e+001, 3.21298332e+001, 1.49034326e+003
-1.60607605e+001, -1.83105316e+001, 3.22324257e+001, 1.56219067e+003
-2.04301300e+001, -2.13396454e+001, 1.85218983e+001, 1.99366345e+003
-2.06829910e+001, -2.17181778e+001, 1.86851883e+001, 1.98241272e+003
-2.04062576e+001, -2.13997574e+001, 1.89332962e+001, 1.95950098e+003
-2.04848099e+001, -2.12055893e+001, 1.80880203e+001, 1.79670276e+003
-2.03821945e+001, -2.10322266e+001, 1.86279755e+001, 1.72150818e+003
1.31905212e+001, -1.84297409e+001, 3.17085400e+001, 2.13718115e+003
1.27879944e+001, -1.86557846e+001, 3.17436180e+001, 2.05184131e+003
1.33880234e+001, -1.86687775e+001, 3.17523651e+001, 1.74672363e+003
1.30101089e+001, -1.82616425e+001, 3.18179283e+001, 2.54470093e+003
1.36077118e+001, -1.82073822e+001, 3.19343662e+001, 2.42415942e+003
2.56513214e+000, 1.83746853e+001, 2.15201645e+002, 1.51384491e+002
2.65093994e+000, 1.85407219e+001, 2.14727722e+002, 1.06091125e+003
-3.02716827e+000, 1.82742596e+001, 2.15189148e+002, 4.32705017e+002
-2.55582428e+000, 1.85368900e+001, 2.15203156e+002, -1.95741165e+002
-2.63607025e+000, 1.79915924e+001, 2.15242477e+002, -2.07426941e+002
-2.93064117e+000, 1.88757324e+001, 2.15242432e+002, 5.12560913e+002
-2.69803619e+000, 1.86991787e+001, 2.15291901e+002, -1.98724304e+002
